timestamp,userId,trial,representation,duration,error
1616734022886,0,1,bubble,1221,63
1616734024467,0,2,bubble,1079,16
1616734026623,0,3,bubble,1654,54
1616734028295,0,4,bubble,1170,15
1616734030931,0,5,bubble,2134,34
1616734032808,0,6,bubble,1375,14
1616734034864,0,7,bubble,1553,31
1616734036682,0,8,bubble,1317,26
1616734038118,0,9,bubble,935,16
1616734039529,0,10,bubble,909,17
1616734041121,0,11,bubble,1090,11
1616734043692,0,12,bubble,2069,29
1616734045340,0,13,bubble,1147,39
1616734047021,0,14,bubble,1178,11
1616734048767,0,15,bubble,1245,25
1616734050487,0,16,bubble,1217,11
1616734052357,0,17,bubble,1367,10
1616734054721,0,18,bubble,1862,10
1616734056426,0,19,bubble,1203,14
1616734058418,0,20,bubble,1489,12
1616734060596,0,21,text,1674,30
1616734062276,0,22,text,1179,37
1616734063704,0,23,text,927,18
1616734065181,0,24,text,974,12
1616734068305,0,25,text,2622,39
1616734070387,0,26,text,1580,40
1616734072629,0,27,text,1740,41
1616734074253,0,28,text,1121,28.94047619047619
1616734076186,0,29,text,1431,22.776470588235295
1616734078325,0,30,text,1637,12
1616734081001,0,31,text,2172,13
1616734082975,0,32,text,1472,12
1616734084909,0,33,text,1431,9.98936170212766
1616734088850,0,34,text,3438,16.797619047619047
1616734091094,0,35,text,1740,10
1616734095328,0,36,text,3731,12
1616734098967,0,37,text,3136,13
1616734101350,0,38,text,1877,10
1616734104465,0,39,text,2612,9.96938775510204
1616734106172,0,40,text,1204,10
1616734310117,1,1,text,1211,16
1616734311601,1,2,text,983,29
1616734313180,1,3,text,1078,39
1616734315166,1,4,text,1484,34
1616734316429,1,5,text,762,48
1616734317933,1,6,text,1003,14
1616734319242,1,7,text,806,14
1616734321938,1,8,text,2195,45
1616734323192,1,9,text,753,16
1616734324517,1,10,text,823,15
1616734326417,1,11,text,1397,16
1616734327972,1,12,text,1053,13
1616734329473,1,13,text,1000,12
1616734331010,1,14,text,1035,12
1616734334727,1,15,text,3215,23.75
1616734338608,1,16,text,3379,18
1616734340718,1,17,text,1607,12
1616734342696,1,18,text,1476,11
1616734345583,1,19,text,2385,13
1616734347842,1,20,text,1758,19
1616734349331,1,21,bubble,985,54
1616734350660,1,22,bubble,826,20
1616734351948,1,23,bubble,786,62
1616734353303,1,24,bubble,854,23
1616734354888,1,25,bubble,1083,11
1616734356284,1,26,bubble,895,10
1616734357908,1,27,bubble,1122,53
1616734359019,1,28,bubble,609,19
1616734360531,1,29,bubble,1010,20
1616734361938,1,30,bubble,905,20
1616734363309,1,31,bubble,868,13
1616734364380,1,32,bubble,570,15
1616734365722,1,33,bubble,839,18
1616734367397,1,34,bubble,1173,26
1616734369358,1,35,bubble,1459,24.978947368421053
1616734370834,1,36,bubble,973,11
1616734372091,1,37,bubble,754,12
1616734373815,1,38,bubble,1220,12
1616734376196,1,39,bubble,1880,18
1616734377508,1,40,bubble,811,10
1616734345279,1,1,text,2033,17
1616734347524,1,2,text,1742,10
1616734350106,1,3,text,2079,38
1616734352474,1,4,text,1866,29
1616734355898,1,5,text,2921,19
1616734358688,1,6,text,2287,18
1616734361051,1,7,text,1861,13
